Start25Longitude,Start25Latitude,End25Longitude,End25Latitude,weight25
114.3775363,30.60105793,114.3830842,30.59877669,34
114.3830842,30.59877669,114.3775363,30.60105793,34
114.3868978,30.52356111,114.3924279,30.52131343,34
114.3311605,30.58152956,114.3257272,30.58383772,33
114.3358804,30.55746157,114.3413786,30.55510508,33
114.3413786,30.55510508,114.3358784,30.55743702,33
114.3736944,30.63183924,114.3792432,30.62956719,33
114.2327371,30.60681463,114.2272999,30.60926683,32
114.2785009,30.59649235,114.2839222,30.5940513,32
114.3189694,30.57906752,114.324442,30.57668672,32
114.3256766,30.58389571,114.3311605,30.58152956,32
114.3494875,30.50757643,114.3550044,30.50522487,32
114.3792432,30.62956719,114.3736944,30.63183924,32
114.4002433,30.54356823,114.4057837,30.54127357,32
114.4032218,30.52818498,114.4087587,30.52588457,32
114.4035209,30.47968602,114.3979844,30.48199925,32
114.2962333,30.53610287,114.3016779,30.53365917,31
114.3050384,30.55629431,114.3104872,30.55387928,31
114.324442,30.57668672,114.3189694,30.57906752,31
114.3302366,30.59620417,114.3247526,30.59856618,31
114.3511487,30.58287776,114.3566734,30.58055649,31
114.3550013,30.50522755,114.3494875,30.50757643,31
114.4208969,30.4781369,114.4264076,30.47580971,31
114.2792257,30.54932214,114.2846436,30.54686474,30
114.2846436,30.54686474,114.2792257,30.54932214,30
114.3104872,30.55387928,114.3050384,30.55629431,30
114.3566713,30.58055704,114.3511487,30.58287776,30
114.4264076,30.47580971,114.4208969,30.4781369,30
114.2447143,30.54150129,114.2501279,30.53901884,29
114.3016683,30.53365506,114.2962335,30.53609216,29
114.3125428,30.52945639,114.3070929,30.53187683,29
114.3478264,30.55606106,114.3533355,30.55371157,29
114.3695106,30.50195121,114.3750452,30.49962828,29
114.3924404,30.52125864,114.3868972,30.52356179,29
114.2501279,30.53901884,114.2447143,30.54150129,28
114.262646,30.58736325,114.2680592,30.58490356,28
114.2939719,30.54873933,114.299399,30.54630424,28
114.2959185,30.53654415,114.3013561,30.5340997,28
114.2994048,30.54630585,114.2939719,30.54873933,28
114.3066097,30.48690341,114.3011723,30.48934635,28
114.3356105,30.59242881,114.3301185,30.59478265,28
114.3389076,30.47928755,114.3444036,30.47691224,28
114.3750452,30.49962828,114.3695106,30.50195121,28
114.2573093,30.60284285,114.2627236,30.60038599,27
114.3035899,30.643978,114.3090442,30.64159473,27
114.3356057,30.5924172,114.3301135,30.59477052,27
114.3444036,30.47691224,114.3389076,30.47928755,27
114.3533422,30.55372538,114.3478263,30.55606101,27
114.2229625,30.59722152,114.2284056,30.59476778,26
114.2415741,30.59670205,114.2469946,30.59423968,26
114.2433977,30.54175356,114.3040925,30.56942442,26
114.2469946,30.59423968,114.2415741,30.59670205,26
114.2627236,30.60038599,114.2573093,30.60284285,26
114.3040925,30.56942442,114.2433977,30.54175356,26
114.3051684,30.55622129,114.3106174,30.55380647,26
114.3106174,30.55380647,114.3051684,30.55622129,26
114.3230703,30.50865729,114.3285435,30.50626061,26
114.3230873,30.50892629,114.3285605,30.50652973,26
114.3271118,30.58069218,114.3216346,30.58306679,26
114.3285435,30.50626061,114.3230703,30.50865729,26
114.3495855,30.50749044,114.3550995,30.50514169,26
114.3550995,30.50514169,114.3495855,30.50749044,26
114.4034219,30.53201377,114.4089547,30.52971697,26
